2022-03-25 12:04:24,325:DEBUG:File selezionato per il parsing: 74181.003.matrix
2022-03-25 12:04:24,326:DEBUG:Parsing completato: 66 elementi del dominio e 2 insiemi
2022-03-25 12:04:24,327:INFO:	Queue size: 1
2022-03-25 12:04:24,327:INFO:	delta: | 0 | representative vector: 0 0
2022-03-25 12:04:24,327:INFO:	delta_max: 0
2022-03-25 12:04:24,327:INFO:	delta components: [0], 6631104482865660642
2022-03-25 12:04:24,327:INFO:		- e: 1 in range(1, 66) -
2022-03-25 12:04:24,327:INFO:		e: 1 representative vector: 0 0
2022-03-25 12:04:24,327:INFO:		T: | 1 | representative vector: 0 0
2022-03-25 12:04:24,327:INFO:		result: KO
2022-03-25 12:04:24,328:INFO:		- e: 2 in range(1, 66) -
2022-03-25 12:04:24,328:INFO:		e: 2 representative vector: 0 0
2022-03-25 12:04:24,328:INFO:		T: | 2 | representative vector: 0 0
2022-03-25 12:04:24,328:INFO:		result: KO
2022-03-25 12:04:24,328:INFO:		- e: 3 in range(1, 66) -
2022-03-25 12:04:24,328:INFO:		e: 3 representative vector: 0 0
2022-03-25 12:04:24,328:INFO:		T: | 3 | representative vector: 0 0
2022-03-25 12:04:24,328:INFO:		result: KO
2022-03-25 12:04:24,328:INFO:		- e: 4 in range(1, 66) -
2022-03-25 12:04:24,328:INFO:		e: 4 representative vector: 0 0
2022-03-25 12:04:24,328:INFO:		T: | 4 | representative vector: 0 0
2022-03-25 12:04:24,328:INFO:		result: KO
2022-03-25 12:04:24,328:INFO:		- e: 5 in range(1, 66) -
2022-03-25 12:04:24,328:INFO:		e: 5 representative vector: 0 0
2022-03-25 12:04:24,329:INFO:		T: | 5 | representative vector: 0 0
2022-03-25 12:04:24,329:INFO:		result: KO
2022-03-25 12:04:24,329:INFO:		- e: 6 in range(1, 66) -
2022-03-25 12:04:24,329:INFO:		e: 6 representative vector: 0 6
2022-03-25 12:04:24,329:INFO:		T: | 6 | representative vector: 0 6
2022-03-25 12:04:24,329:INFO:		result: OK
2022-03-25 12:04:24,329:INFO:		- e: 7 in range(1, 66) -
2022-03-25 12:04:24,329:INFO:		e: 7 representative vector: 0 0
2022-03-25 12:04:24,329:INFO:		T: | 7 | representative vector: 0 0
2022-03-25 12:04:24,329:INFO:		result: KO
2022-03-25 12:04:24,329:INFO:		- e: 8 in range(1, 66) -
2022-03-25 12:04:24,329:INFO:		e: 8 representative vector: 0 0
2022-03-25 12:04:24,329:INFO:		T: | 8 | representative vector: 0 0
2022-03-25 12:04:24,329:INFO:		result: KO
